fp,county,state,never,rarely,sometimes,frequently,always
36001,Broome,NY,0.006,0.012,0.052,0.142,0.788
12005,Broward,FL,0.065,0.109,0.076,0.202,0.548
17001,Brown,IL,0.18,0.092,0.189,0.19,0.35
18005,Brown,IN,0.138,0.084,0.085,0.286,0.406
20005,Brown,KS,0.137,0.122,0.169,0.256,0.316
27007,Brown,MN,0.094,0.155,0.225,0.185,0.34
31011,Brown,NE,0.156,0.08,0.151,0.197,0.415
39009,Brown,OH,0.071,0.115,0.164,0.236,0.413
46007,Brown,SD,0.147,0.052,0.117,0.327,0.356
48043,Brown,TX,0.011,0.012,0.077,0.172,0.728
55009,Brown,WI,0.069,0.053,0.184,0.208,0.486
46009,Brule,SD,0.108,0.205,0.198,0.193,0.295
37013,Brunswick,NC,0.037,0.08,0.041,0.219,0.623
51019,Brunswick,VA,0.052,0.09,0.115,0.248,0.495
13023,Bryan,GA,0.089,0.031,0.117,0.256,0.508
40007,Bryan,OK,0.153,0.154,0.085,0.223,0.384
19011,Buchanan,IA,0.098,0.067,0.13,0.2,0.504
29013,Buchanan,MO,0.138,0.068,0.112,0.237,0.444
51021,Buchanan,VA,0.081,0.114,0.2,0.166,0.44
51023,Buckingham,VA,0.043,0.079,0.106,0.221,0.551
42011,Bucks,PA,0.036,0.012,0.06,0.174,0.719
19013,Buena Vista,IA,0.032,0.053,0.18,0.289,0.447
51510,Buena Vista City,VA,0.032,0.02,0.065,0.17,0.712
31013,Buffalo,NE,0.303,0.112,0.096,0.285,0.203
46011,Buffalo,SD,0.04,0.124,0.263,0.229,0.345
55011,Buffalo,WI,0.039,0.106,0.172,0.269,0.414
21021,Bullitt,KY,0.092,0.037,0.112,0.161,0.598
13025,Bulloch,GA,0.047,0.129,0.15,0.164,0.51
1011,Bullock,AL,0.031,0.04,0.144,0.286,0.5
37015,Buncombe,NC,0.1,0.04,0.064,0.214,0.582
17003,Bureau,IL,0.11,0.082,0.148,0.262,0.398
13027,Burke,GA,0.092,0.165,0.124,0.235,0.385
37017,Burke,NC,0.073,0.023,0.076,0.104,0.724
38007,Burke,ND,0.2,0.201,0.137,0.244,0.218
38009,Burleigh,ND,0.206,0.119,0.142,0.259,0.274
48045,Burleson,TX,0.105,0.077,0.113,0.187,0.518
33019,Burlington,NJ,0.06,0.103,0.012,0.252,0.574
48047,Burnet,TX,0.061,0.004,0.166,0.09,0.678
55013,Burnett,WI,0.097,0.163,0.082,0.236,0.422
